Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
183;20010401;20190131;Arkona;MX_FX;Absolutes Maximum der Windmaxspitze;m/s;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Monats;;;eor;
183;19510101;19901130;Arkona;MX_RS;Maximale Niederschlagshoehe des Monats;mm;Niederschlagsdaten aus Niederschlagsroutine des eMD bis 10/1991 (1 Termin ca 7 MOZ und Tagessummen);Extrema des Monats;;;eor;
183;19910101;20010228;Arkona;MX_RS;Maximale Niederschlagshoehe des Monats;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Extrema des Monats;;;eor;
183;20010401;20190131;Arkona;MX_RS;Maximale Niederschlagshoehe des Monats;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Extrema des Monats;;;eor;
183;19470101;19661130;Arkona;MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine des eMD, basierend auf den drei Klimaterminen (Termine  07, 14, 21 MOZ und Tageswerte);Extrema des Monats;;;eor;
183;19670101;19901130;Arkona;MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine des eMD. Terminwerte basierend auf Daten der synoptischen Haupttermine (00,06,12,18 UTC) und Tageswerte, sowie Klimadaten nacherfasst im Rahmen des Projektes KLIDADIGI zu unterschiedlichen Zeiträumen.;Extrema des Monats;;;eor;
183;19910101;20010228;Arkona;MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Monats;;;eor;
183;20010401;20190131;Arkona;MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Monats;;;eor;
183;19470101;19661130;Arkona;MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine des eMD, basierend auf den drei Klimaterminen (Termine  07, 14, 21 MOZ und Tageswerte);Extrema des Monats;;;eor;
183;19670101;19901130;Arkona;MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine des eMD. Terminwerte basierend auf Daten der synoptischen Haupttermine (00,06,12,18 UTC) und Tageswerte, sowie Klimadaten nacherfasst im Rahmen des Projektes KLIDADIGI zu unterschiedlichen Zeiträumen.;Extrema des Monats;;;eor;
183;19910101;20010228;Arkona;MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Monats;;;eor;
183;20010401;20190131;Arkona;MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Monats;;;eor;
Legende: FT  = Folgetag; GZ = Gesetzliche Zeit
generiert: 14.03.2019 --  Deutscher Wetterdienst  --
